ID,Category,Subcategory,Value,Timestamp
152,Protein,Egg,3.67,2024-02-05T20:45:00
153,Protein,Egg,66.64,2024-01-08T15:23:00
154,Grain,Wheat,86.82,2024-01-17T12:59:00
155,Fruit,Banana,38.53,2024-01-20T06:22:00
156,Grain,Oats,34.41,2024-02-04T12:12:00
157,Dairy,Butter,25.97,2024-01-08T10:55:00
158,Grain,Rice,75.15,2024-01-05T17:46:00
159,Dairy,Cheese,65.36,2024-02-29T07:46:00
160,Fruit,Apple,95.01,2024-01-19T03:30:00
161,Fruit,Berry,16.09,2024-01-12T11:44:00
162,Grain,Rice,56.83,2024-01-20T20:09:00
163,Grain,Oats,76.92,2024-01-16T06:32:00
164,Protein,Egg,96.41,2024-03-06T09:16:00
165,Fruit,Orange,96.51,2024-01-10T20:08:00
166,Protein,Chicken,92.96,2024-02-22T09:50:00
167,Grain,Corn,94.21,2024-01-19T01:15:00
168,Fruit,Berry,69.37,2024-02-27T02:13:00
169,Vegetable,Carrot,70.02,2024-01-28T10:49:00
170,Protein,Chicken,79.83,2024-02-21T12:17:00
171,Fruit,Banana,53.74,2024-03-01T05:06:00
172,Dairy,Milk,51.09,2024-02-01T01:25:00
173,Fruit,Grape,82.41,2024-01-10T14:33:00
174,Grain,Oats,63.92,2024-02-11T20:18:00
175,Vegetable,Pepper,18.44,2024-02-17T11:46:00
176,Dairy,Cream,81.01,2024-02-18T23:39:00
177,Grain,Corn,44.12,2024-03-07T12:57:00
178,Protein,Fish,32.91,2024-01-23T08:17:00
179,Fruit,Banana,88.28,2024-01-23T04:43:00
180,Grain,Barley,61.42,2024-02-04T11:54:00
181,Dairy,Milk,49.94,2024-01-30T14:00:00
182,Vegetable,Pepper,22.0,2024-01-24T12:22:00
183,Dairy,Yogurt,88.15,2024-03-04T19:45:00
184,Dairy,Cream,2.0,2024-01-18T09:22:00
185,Fruit,Orange,72.29,2024-02-14T11:18:00
186,Protein,Beef,69.37,2024-02-28T18:59:00
187,Grain,Corn,79.5,2024-01-09T11:16:00
188,Dairy,Cheese,41.04,2024-01-23T03:30:00
189,Dairy,Cream,37.53,2024-02-20T09:04:00
190,Protein,Fish,43.12,2024-03-08T21:31:00
191,Protein,Fish,35.83,2024-02-11T07:13:00
192,Dairy,Yogurt,25.89,2024-01-11T23:34:00
193,Vegetable,Broccoli,12.84,2024-02-18T18:36:00
194,Vegetable,Spinach,22.42,2024-02-14T01:44:00
195,Dairy,Cream,97.68,2024-02-17T18:05:00
196,Protein,Fish,98.07,2024-01-18T16:03:00
197,Dairy,Cheese,36.73,2024-01-28T12:18:00
198,Fruit,Berry,13.53,2024-01-05T03:25:00
199,Fruit,Berry,29.92,2024-01-12T11:51:00
200,Grain,Rice,87.4,2024-02-22T06:03:00
201,Dairy,Butter,48.39,2024-02-01T00:17:00
202,Vegetable,Carrot,26.0,2024-02-13T11:36:00
203,Fruit,Apple,40.67,2024-01-07T17:50:00
204,Protein,Chicken,16.02,2024-02-21T05:32:00
205,Dairy,Milk,99.4,2024-01-11T18:45:00
206,Protein,Tofu,61.03,2024-02-26T06:57:00
207,Vegetable,Tomato,38.66,2024-02-10T07:08:00
208,Dairy,Cream,99.01,2024-01-28T19:06:00
209,Protein,Egg,6.96,2024-03-08T08:44:00
210,Fruit,Orange,62.93,2024-01-25T02:07:00
211,Fruit,Orange,24.75,2024-02-20T05:50:00
212,Fruit,Orange,1.26,2024-02-11T00:08:00
213,Protein,Tofu,29.83,2024-01-22T01:40:00
214,Dairy,Yogurt,70.6,2024-02-11T07:50:00
215,Fruit,Orange,92.47,2024-02-26T21:27:00
216,Protein,Beef,43.09,2024-02-19T13:36:00
217,Vegetable,Spinach,90.93,2024-01-13T22:43:00
218,Fruit,Apple,17.43,2024-01-28T23:59:00
219,Protein,Egg,92.2,2024-02-09T23:20:00
220,Fruit,Grape,69.18,2024-03-04T16:35:00
221,Grain,Oats,50.55,2024-02-14T22:42:00
222,Grain,Rice,60.21,2024-02-09T07:46:00
223,Dairy,Cream,25.79,2024-01-09T07:30:00
224,Vegetable,Tomato,59.13,2024-01-02T21:19:00
225,Dairy,Cream,4.98,2024-03-09T20:05:00
226,Vegetable,Pepper,52.38,2024-02-10T06:03:00
227,Dairy,Cheese,99.7,2024-02-09T16:12:00
228,Grain,Rice,47.53,2024-02-07T04:03:00
229,Dairy,Yogurt,67.34,2024-01-15T15:19:00
230,Dairy,Butter,69.67,2024-01-27T05:37:00
231,Grain,Barley,4.63,2024-01-09T00:22:00
232,Dairy,Yogurt,33.0,2024-02-06T18:56:00
233,Protein,Chicken,66.11,2024-02-19T09:18:00
234,Grain,Corn,6.37,2024-02-17T04:32:00
235,Dairy,Cream,75.89,2024-02-26T22:13:00
236,Grain,Rice,21.15,2024-02-19T23:47:00
237,Vegetable,Broccoli,44.37,2024-03-04T13:21:00
238,Grain,Rice,3.86,2024-02-27T08:18:00
239,Protein,Beef,71.27,2024-01-29T06:50:00
240,Protein,Chicken,55.67,2024-01-09T11:37:00
241,Vegetable,Carrot,46.68,2024-01-11T16:36:00
242,Vegetable,Pepper,93.33,2024-01-27T13:34:00
243,Protein,Fish,42.13,2024-02-13T22:02:00
244,Grain,Wheat,46.22,2024-01-14T03:58:00
245,Grain,Wheat,92.26,2024-02-16T06:16:00
246,Vegetable,Carrot,28.35,2024-02-07T18:27:00
247,Dairy,Cream,27.45,2024-01-01T05:36:00
248,Dairy,Yogurt,83.91,2024-02-22T18:51:00
249,Grain,Wheat,45.21,2024-02-14T02:03:00
250,Dairy,Yogurt,55.64,2024-02-19T11:08:00
251,Grain,Corn,93.35,2024-01-18T04:07:00
252,Vegetable,Tomato,38.91,2024-02-07T09:21:00
253,Fruit,Banana,74.73,2024-03-05T04:35:00
254,Grain,Corn,98.85,2024-02-29T08:21:00
255,Vegetable,Pepper,"$96.52",2024-01-12T11:47:00
256,Protein,Egg,33.87,2024-01-10T03:14:00
257,Grain,Rice,53.07,2024-02-11T14:10:00
258,Fruit,Orange,41.59,2024-02-29T14:23:00
259,Vegetable,Carrot,47.48,2024-01-25T02:57:00
260,Dairy,Cream,69.58,2024-02-29T03:35:00
261,Fruit,Banana,85.38,2024-02-18T13:42:00
262,Grain,Oats,63.05,2024-03-10T02:56:00
263,Grain,Barley,4.55,2024-01-07T05:28:00
264,Vegetable,Broccoli,99.75,2024-03-08T23:20:00
265,Fruit,Grape,97.86,2024-03-10T05:03:00
266,Fruit,Grape,17.47,2024-01-28T06:11:00
267,Fruit,Apple,33.11,2024-01-06T02:35:00
268,Dairy,Yogurt,38.11,2024-01-14T06:00:00
269,Vegetable,Tomato,41.79,2024-03-03T01:24:00
270,Vegetable,Spinach,18.33,2024-02-25T11:27:00
271,Grain,Barley,68.63,2024-02-15T07:10:00
272,Protein,Beef,23.99,2024-02-28T01:31:00
273,Dairy,Butter,26.28,2024-01-01T20:31:00
274,Grain,Oats,68.08,2024-01-15T09:06:00
275,Fruit,Grape,94.58,2024-02-23T11:34:00
276,Dairy,Butter,69.34,2024-02-11T13:58:00
277,Dairy,Cheese,99.94,2024-02-13T23:35:00
278,Fruit,Orange,38.76,2024-02-02T16:09:00
279,Protein,Fish,99.28,2024-01-27T20:56:00
280,Fruit,Grape,28.17,2024-02-21T12:17:00
281,Fruit,Berry,74.77,2024-01-27T01:12:00
282,Vegetable,Tomato,80.39,2024-01-20T22:25:00
283,Vegetable,Tomato,25.81,2024-03-09T18:35:00
284,Vegetable,Carrot,90.44,2024-02-28T19:57:00
285,Fruit,Banana,79.07,2024-01-04T00:53:00
286,Protein,Fish,73.5,2024-01-09T04:53:00
287,Dairy,Yogurt,75.0,2024-01-16T23:41:00
288,Vegetable,Spinach,78.86,2024-02-03T07:13:00
289,Protein,Egg,91.44,2024-01-15T23:27:00
290,Dairy,Butter,96.77,2024-01-27T20:44:00
291,Dairy,Milk,47.36,2024-01-07T20:29:00
292,Vegetable,Spinach,86.15,2024-03-06T22:04:00
293,Grain,Barley,37.21,2024-02-05T21:57:00
294,Fruit,Banana,54.12,2024-02-11T09:29:00
295,Dairy,Yogurt,58.87,2024-02-28T02:55:00
296,Dairy,Milk,67.81,2024-02-12T21:57:00
297,Fruit,Berry,88.54,2024-02-21T02:24:00
298,Dairy,Cream,22.92,2024-01-06T18:05:00
299,Grain,Oats,65.27,2024-01-11T14:52:00
300,Vegetable,Carrot,94.68,2024-01-28T16:53:00
301,Grain,Rice,10.62,2024-02-18T22:17:00
302,Vegetable,Pepper,45.91,2024-03-02T00:41:00
303,Protein,Tofu,59.15,2024-03-07T03:16:00
304,Vegetable,Pepper,65.84,2024-02-14T12:59:00
305,Protein,Tofu,93.97,2024-01-26T11:06:00
306,Fruit,Banana,22.51,2024-02-10T11:27:00
307,Vegetable,Broccoli,10.84,2024-03-03T09:53:00
308,Dairy,Cream,90.27,2024-02-28T16:38:00
309,Dairy,Milk,40.42,2024-01-18T06:38:00
310,Fruit,Grape,10.08,2024-01-20T07:21:00
311,Protein,Chicken,6.01,2024-01-31T08:33:00
312,Vegetable,Spinach,78.91,2024-01-19T16:16:00
313,Fruit,Berry,21.51,2024-01-20T15:45:00
314,Vegetable,Broccoli,77.66,2024-02-24T05:56:00
315,Fruit,Banana,85.98,2024-01-14T04:04:00
316,Vegetable,Tomato,25.81,2024-01-16T21:11:00
317,Fruit,Apple,14.05,2024-02-02T14:35:00
318,Vegetable,Tomato,33.05,2024-01-16T20:38:00
319,Dairy,Milk,13.55,2024-02-08T07:36:00
320,Protein,Chicken,74.82,2024-02-13T08:22:00
321,Grain,Oats,51.81,2024-01-10T22:13:00
322,Grain,Barley,22.93,2024-02-25T23:43:00
323,Fruit,Berry,30.86,2024-02-28T13:23:00
324,Fruit,Apple,99.86,2024-02-06T13:20:00
325,Grain,Rice,49.54,2024-02-10T08:58:00
326,Fruit,Apple,32.89,2024-01-14T12:02:00
327,Fruit,Orange,28.23,2024-02-27T14:58:00
328,Protein,Egg,71.5,2024-02-04T16:05:00
329,Protein,Egg,30.19,2024-02-16T00:23:00
330,Protein,Tofu,10.82,2024-03-04T21:03:00
331,Fruit,Berry,72.36,2024-01-20T13:43:00
332,Grain,Corn,88.92,2024-02-07T15:59:00
333,Dairy,Butter,40.47,2024-03-07T09:51:00
334,Fruit,Banana,43.25,2024-03-01T12:57:00
335,Dairy,Yogurt,95.41,2024-03-03T12:23:00
336,Grain,Rice,10.03,2024-01-08T18:28:00
337,Fruit,Grape,10.56,2024-03-08T05:55:00
338,Dairy,Cheese,56.08,2024-02-23T09:09:00
339,Protein,Egg,33.63,2024-01-12T03:01:00
340,Grain,Oats,87.49,2024-03-09T07:01:00
341,Grain,Rice,96.87,2024-02-24T15:36:00
342,Dairy,Yogurt,11.26,2024-02-16T04:27:00
343,Vegetable,Spinach,66.02,2024-01-21T09:52:00
344,Fruit,Banana,84.69,2024-02-03T10:56:00
345,Fruit,Banana,57.84,2024-02-09T01:24:00
346,Protein,Egg,61.74,2024-02-28T11:59:00
347,Protein,Chicken,61.29,2024-02-29T21:03:00
348,Dairy,Milk,18.86,2024-03-04T23:04:00
349,Dairy,Yogurt,35.75,2024-01-17T12:17:00
350,Vegetable,Tomato,66.08,2024-01-07T08:00:00
351,Vegetable,Carrot,10.08,2024-02-18T06:51:00
352,Vegetable,Pepper,42.56,2024-02-01T00:41:00
353,Vegetable,Broccoli,31.85,2024-01-30T12:37:00
354,Protein,Egg,9.41,2024-01-05T18:55:00
355,Vegetable,Spinach,75.69,2024-01-05T12:42:00
356,Fruit,Banana,44.87,2024-02-08T14:16:00
357,Grain,Barley,44.76,2024-01-25T20:44:00
358,Vegetable,Tomato,12.27,2024-02-09T03:09:00
359,Fruit,Banana,68.14,2024-02-23T23:43:00
360,Grain,Barley,67.05,2024-01-05T03:12:00
361,Vegetable,Pepper,98.46,2024-01-05T23:40:00
362,Fruit,Orange,30.84,2024-01-20T05:26:00
363,Vegetable,Broccoli,29.66,2024-01-11T22:06:00
364,Fruit,Grape,74.95,2024-01-16T23:48:00
365,Vegetable,Pepper,53.73,2024-01-21T22:41:00
366,Protein,Egg,83.5,2024-02-02T05:41:00
367,Fruit,Grape,86.31,2024-01-04T20:24:00
368,Grain,Rice,46.52,2024-01-08T02:05:00
369,Dairy,Cream,43.5,2024-02-06T19:28:00
370,Grain,Oats,12.4,2024-01-02T21:33:00
371,Dairy,Cheese,80.33,2024-02-26T06:18:00
372,Grain,Oats,9.72,2024-01-10T15:15:00
373,Vegetable,Pepper,59.3,2024-02-17T16:36:00
374,Fruit,Grape,87.18,2024-03-08T21:14:00
375,Dairy,Cheese,33.97,2024-01-16T07:17:00
376,Fruit,Berry,63.69,2024-02-18T07:07:00
377,Protein,Beef,90.69,2024-02-01T19:13:00
378,Dairy,Cheese,24.39,2024-01-14T07:54:00
379,Dairy,Cheese,18.18,2024-01-14T21:56:00
380,Fruit,Orange,95.18,2024-02-27T03:46:00
381,Grain,Corn,75.69,2024-03-10T03:58:00
382,Protein,Tofu,68.43,2024-02-21T09:09:00
383,Protein,Fish,86.56,2024-02-27T02:10:00
384,Dairy,Cheese,44.54,2024-02-12T16:22:00
385,Grain,Oats,79.84,2024-02-23T19:58:00
386,Fruit,Banana,51.23,2024-01-29T06:05:00
387,Grain,Corn,4.72,2024-02-03T13:31:00
388,Dairy,Milk,64.82,2024-01-09T05:15:00
389,Protein,Egg,51.2,2024-02-12T02:48:00
390,Protein,Egg,95.47,2024-03-08T06:11:00
391,Fruit,Grape,91.0,2024-02-22T00:48:00
392,Vegetable,Broccoli,60.9,2024-02-15T15:15:00
393,Vegetable,Carrot,45.6,2024-02-01T06:15:00
394,Fruit,Berry,64.97,2024-01-04T13:30:00
395,Vegetable,Pepper,99.11,2024-02-17T16:50:00
396,Protein,Egg,16.72,2024-02-03T22:30:00
397,Dairy,Butter,41.47,2024-01-31T19:10:00
398,Protein,Chicken,79.13,2024-02-28T22:03:00
399,Dairy,Milk,33.64,2024-02-20T18:53:00
400,Grain,Oats,25.95,2024-02-29T18:17:00
401,Protein,Beef,34.0,2024-02-23T01:00:00
402,Vegetable,Broccoli,31.71,2024-02-29T17:10:00
403,Grain,Wheat,59.91,2024-01-08T17:04:00
404,Dairy,Cream,38.29,2024-01-30T21:34:00
405,Vegetable,Tomato,10.25,2024-03-02T00:38:00
406,Grain,Barley,36.82,2024-02-03T00:06:00
407,Dairy,Cheese,95.17,2024-02-01T02:31:00
408,Grain,Wheat,23.43,2024-01-13T12:30:00
409,Vegetable,Carrot,30.28,2024-01-10T04:56:00
410,Protein,Egg,83.68,2024-02-17T22:13:00
411,Fruit,Banana,87.76,2024-02-26T06:06:00
412,Vegetable,Tomato,38.3,2024-01-15T18:26:00
413,Vegetable,Tomato,81.1,2024-01-16T01:37:00
414,Grain,Rice,41.68,2024-03-02T13:32:00
415,Vegetable,Pepper,61.45,2024-03-09T11:37:00
416,Grain,Wheat,53.87,2024-01-29T04:02:00
417,Grain,Wheat,37.42,2024-02-21T22:06:00
418,Grain,Corn,77.17,2024-02-04T18:12:00
419,Protein,Egg,42.45,2024-01-15T18:01:00
420,Vegetable,Tomato,14.7,2024-01-23T18:08:00
421,Fruit,Grape,87.54,2024-02-20T11:24:00
422,Fruit,Berry,85.27,2024-01-26T22:43:00
423,Fruit,Orange,28.01,2024-02-16T17:26:00
424,Vegetable,Pepper,10.08,2024-01-21T05:02:00
425,Grain,Oats,93.12,2024-02-07T18:21:00
426,Fruit,Grape,50.7,2024-01-22T11:03:00
427,Grain,Rice,38.12,2024-01-03T13:34:00
428,Dairy,Milk,84.08,2024-02-29T03:51:00
429,Dairy,Cheese,14.62,2024-01-27T02:41:00
430,Grain,Wheat,76.13,2024-02-12T16:47:00
431,Grain,Barley,1.52,2024-01-08T05:04:00
432,Fruit,Banana,22.35,2024-01-14T14:37:00
433,Protein,Egg,53.25,2024-01-11T02:53:00
434,Dairy,Cheese,30.81,2024-01-05T08:18:00
435,Vegetable,Pepper,64.26,2024-02-26T16:33:00
436,Grain,Rice,11.97,2024-02-15T11:53:00
437,Protein,Egg,2.63,2024-02-16T21:51:00
438,Protein,Beef,72.14,2024-01-27T12:17:00
439,Grain,Rice,61.87,2024-01-22T21:31:00
440,Protein,Tofu,19.54,2024-03-01T19:44:00
441,Fruit,Berry,97.49,2024-01-07T03:50:00
442,Protein,Egg,51.23,2024-02-16T04:55:00
443,Protein,Chicken,39.65,2024-02-12T19:01:00
444,Fruit,Grape,98.12,2024-01-24T02:06:00
445,Fruit,Banana,79.06,2024-02-01T09:13:00
446,Vegetable,Carrot,77.38,2024-03-07T22:02:00
447,Dairy,Cheese,5.39,2024-02-19T16:47:00
448,Dairy,Cheese,83.21,2024-03-03T07:42:00
449,Grain,Corn,63.54,2024-01-13T06:35:00
450,Fruit,Grape,4.66,2024-01-19T08:22:00
451,Fruit,Orange,88.69,2024-01-29T17:25:00
452,Dairy,Cream,40.42,2024-02-19T10:16:00
453,Grain,Oats,4.63,2024-02-28T21:10:00
454,Vegetable,Broccoli,36.34,2024-01-05T08:25:00
455,Dairy,Yogurt,13.32,2024-02-03T11:57:00
456,Grain,Corn,74.59,2024-02-05T04:38:00
457,Dairy,Cheese,50.12,2024-02-15T06:51:00
458,Dairy,Cream,27.41,2024-01-08T12:28:00
459,Grain,Rice,43.63,2024-01-17T10:12:00
460,Protein,Fish,32.8,2024-01-08T06:54:00
461,Dairy,Yogurt,31.34,2024-02-24T20:26:00
462,Grain,Wheat,69.29,2024-02-01T23:57:00
463,Grain,Rice,72.95,2024-02-02T02:10:00
464,Protein,Tofu,28.18,2024-01-06T05:18:00
465,Fruit,Grape,36.97,2024-03-09T06:10:00
466,Vegetable,Carrot,15.14,2024-02-25T07:15:00
467,Grain,Rice,13.5,2024-01-22T11:32:00
468,Dairy,Yogurt,38.9,2024-02-21T15:09:00
469,Fruit,Berry,16.19,2024-02-10T22:52:00
470,Dairy,Yogurt,44.95,2024-01-07T23:57:00
471,Protein,Beef,53.42,2024-02-06T05:31:00
472,Dairy,Yogurt,25.71,2024-01-11T07:49:00
473,Fruit,Orange,50.41,2024-02-05T05:23:00
474,Protein,Chicken,26.92,2024-01-24T16:36:00
475,Grain,Wheat,99.64,2024-01-26T23:51:00
476,Grain,Wheat,13.14,2024-01-07T17:46:00
477,Grain,Wheat,89.97,2024-02-10T12:21:00
478,Fruit,Banana,67.12,2024-03-05T14:00:00
479,Fruit,Berry,54.67,2024-01-28T07:15:00
480,Vegetable,Spinach,79.58,2024-02-16T07:23:00
481,Vegetable,Carrot,98.53,2024-01-13T15:22:00
482,Vegetable,Pepper,3.6,2024-02-20T10:16:00
483,Protein,Fish,47.27,2024-02-20T05:05:00
484,Vegetable,Tomato,88.54,2024-01-06T23:37:00
485,Dairy,Butter,99.96,2024-03-06T10:23:00
486,Grain,Barley,41.67,2024-02-07T06:25:00
487,Protein,Chicken,13.41,2024-01-29T20:33:00
488,Fruit,Grape,47.12,2024-02-17T02:11:00
489,Dairy,Cheese,87.92,2024-02-20T04:20:00
490,Protein,Beef,77.01,2024-01-12T17:52:00
491,Grain,Barley,91.16,2024-01-06T01:03:00
492,Fruit,Berry,16.15,2024-01-15T23:41:00
